# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
jian ding wei 	鉴定为	c=1 d=1 t=3949
jian guo 	坚果	c=1 d=1 t=21325
jian guo 	见过	c=6 d=1.90937 t=21343
jian guo yu 	见过育	c=3 d=1.16122 t=14105
jian guo yun 	坚果云	c=58 d=9.99334 t=14243
jian guo yun hu nan 	坚果云湖南	c=1 d=1 t=3385
jian hua 	简化	c=3 d=1 t=21772
jian ji 	剪辑	c=2 d=1.97531 t=13723
jian jian 	渐渐	c=1 d=1 t=23054
jian jie 	简介	c=2 d=1 t=20253
jian kong 	监控	c=1 d=1 t=112
jian le 	剪了	c=1 d=1 t=19603
jian li 	建立	c=1 d=1 t=2757
jian li 	简历	c=1 d=1 t=2758
jian lou 	简陋	c=0 d=0.1 t=10200
jian mo 	建模	c=2 d=1.64726 t=17168
jian pan 	键盘	c=15 d=1 t=20393
jian pan sheng yin 	键盘声音	c=1 d=1 t=4039
jian pan shou gan 	键盘手感	c=1 d=1 t=2092
jian qie ban 	剪切板	c=7 d=1 t=15076
jian rong 	兼容	c=3 d=1 t=21201
jian sha 	奸杀	c=1 d=1 t=11619
jian shao 	减少	c=3 d=1.00135 t=17984
jian shao le 	减少了	c=1 d=1 t=13846
jian shi pin 	剪视频	c=1 d=1 t=5663
jian su 	减速	c=2 d=1.86936 t=17079
jian tou fa 	剪头发	c=1 d=1 t=23133
jian wei 	键位	c=3 d=1.956 t=6942
jian xiao 	减小	c=1 d=1 t=15304
jian yi 	建议	c=1 d=1 t=7197
jian yi ge 	建一个	c=1 d=1 t=6647
jian ying 	剪影	c=2 d=2.06531 t=23417
jian zheng li shi 	见证历史	c=2 d=1.99005 t=23336
jian zhi 	兼职	c=1 d=1 t=12526
jian zhi 	简直	c=1 d=1 t=12527
jian zi ru mian 	见字如面	c=1 d=1 t=22881
jiang 	将	c=73 d=1.07282 t=23251
jiang di 	降低	c=1 d=1.0038 t=17436
jiang di le 	降低了	c=1 d=1 t=12348
jiang ge xiao hua 	讲个笑话	c=1 d=1 t=11690
jiang hui 	将会	c=1 d=1 t=1113
jiang ji 	降级	c=1 d=1 t=17087
jiang jin 	将近	c=1 d=1 t=15972
jiang pei 	降配	c=1 d=1 t=19878
jiang qi 	将其	c=2 d=1 t=19307
jiang su 	江苏	c=1 d=1 t=5903
jiang wo 	将我	c=1 d=1 t=22380
jiang zhi 	将之	c=2 d=1.00156 t=22112
jiang zhi 	将至	c=1 d=1 t=11530
jiao 	交	c=1 d=0.1 t=11845
jiao 	叫	c=12 d=1.14372 t=19971
jiao 	觉	c=1 d=1 t=18573
jiao 	角	c=1 d=1 t=6982
jiao an 	教案	c=0 d=0.1 t=15085
jiao an qie ban 	教案切半	c=1 d=1 t=15086
jiao ben 	脚本	c=16 d=5.39461 t=22721
jiao ben li 	脚本里	c=1 d=1 t=22591
jiao ben li de 	脚本里的	c=1 d=1 t=18510
jiao cha 	交叉	c=1 d=1 t=21445
jiao cha 	较差	c=6 d=1.74453 t=21503
jiao cheng 	教程	c=4 d=1.84366 t=21862
jiao cuo 	交错	c=1 d=1 t=15457
jiao dian 	焦点	c=4 d=3.97017 t=20251
jiao ge 	交割	c=1 d=1 t=17641
jiao han 	叫喊	c=1 d=1 t=14532
jiao hu 	交互	c=4 d=1 t=20057
jiao hu xing 	交互性	c=1 d=1 t=22994
jiao huan 	交换	c=22 d=2.48 t=20465
jiao huan dao 	交换到	c=2 d=1.85642 t=20486
jiao huan ji zhi 	交换机制	c=2 d=1.81058 t=15672
jiao huan she bei 	交换设备	c=1 d=1 t=16311
jiao huan xi tong 	交换系统	c=3 d=1.77777 t=16634
jiao le 	叫了	c=1 d=1 t=7652
jiao lv 	焦虑	c=0 d=0.1 t=6725
jiao lv de 	焦虑的	c=1 d=1 t=6190
jiao ni 	教你	c=1 d=1 t=18837
jiao she 	交涉	c=1 d=1 t=19621
jiao shen me 	叫什么	c=0 d=0.1 t=14394
jiao shi 	教室	c=2 d=1 t=21351
jiao shi 	教师	c=0 d=0.1 t=4319
jiao wo 	叫我	c=1 d=1 t=10306
jiao wo 	教我	c=2 d=1.74453 t=10366
jiao xue 	教学	c=1 d=1 t=8736
jiao xue lou 	教学楼	c=1 d=1 t=10478
jiao yu 	教育	c=1 d=1 t=3191
jiao zao 	焦躁	c=1 d=1 t=18328
jie 	接	c=3 d=1 t=6226
jie 	节	c=1 d=1 t=16986
jie bei 	戒备	c=0 d=0.1 t=6987
jie chu 	接触	c=1 d=1 t=22055
jie chu 	解除	c=0 d=0.1 t=22056
jie chu yin yong 	解除引用	c=2 d=1.65377 t=22142
jie dao 	借到	c=1 d=1 t=10119
jie dian 	节点	c=18 d=2.04545 t=17752
jie dian ce su 	节点测速	c=1 d=1 t=785
jie du 	解读	c=1 d=1 t=14330
jie duan xing 	阶段性	c=1 d=1 t=14224
jie gou 	结构	c=12 d=1.00004 t=22915
jie gou kao shi 	结构考试	c=1 d=1 t=21330
jie gu 	解雇	c=1 d=1 t=1149
jie guo 	结果	c=11 d=1.00063 t=22559
jie he 	结合	c=4 d=1.00003 t=19115
jie jia ri 	节假日	c=1 d=1 t=4846
jie jian 	借鉴	c=1 d=1 t=20817
jie jie 	姐姐	c=1 d=1 t=23243
jie jiu 	解酒	c=1 d=1 t=14813
jie jue 	解决	c=25 d=2.17308 t=22768
jie kou 	接口	c=33 d=1.00047 t=21224
jie li 	接力	c=1 d=1 t=15088
jie ma qi 	解码器	c=1 d=1 t=12955
jie mian 	界面	c=4 d=1 t=20212
jie neng 	节能	c=1 d=1 t=4694
jie shao 	介绍	c=15 d=0.299263 t=23339
jie shao le 	介绍了	c=1 d=1 t=2686
jie shi 	解释	c=7 d=1.99501 t=20558
jie shou 	接受	c=2 d=1 t=22159
jie shou 	接收	c=1 d=1 t=22657
jie shu 	结束	c=2 d=1.00002 t=15797
jie shu le 	结束了	c=1 d=1 t=4987
jie shuo 	解说	c=1 d=1 t=23337
jie suo 	解锁	c=1 d=1 t=6574
jie tu 	截图	c=6 d=1 t=9465
jie xi 	解析	c=2 d=1.94649 t=7306
jie xian shi qi 	接显示器	c=1 d=1 t=273
jie ya 	解压	c=2 d=1.99501 t=21174
jie yin yong 	解引用	c=4 d=2.36952 t=22171
jin 	仅	c=1 d=1 t=4248
jin 	尽	c=2 d=1.96561 t=10145
jin 	近	c=1 d=1 t=4537
jin 	进	c=1 d=1 t=232
jin 	金	c=1 d=1 t=10745
jin cheng 	进程	c=4 d=1.24996 t=17579
jin ci yu 	仅次于	c=1 d=1 t=7609
jin e 	金额	c=0 d=0.1 t=12833
jin e kou 	金额口	c=1 d=1 t=12834
jin gong men 	金拱门	c=1 d=1 t=7430
jin ji 	紧急	c=1 d=1 t=16431
jin jin 	仅仅	c=2 d=1.00003 t=18377
jin ni a 	进你啊	c=1 d=1 t=3703
jin nian 	今年	c=2 d=1 t=9797
jin qiu 	进球	c=2 d=1.9802 t=23333
jin qiu le 	进球了	c=1 d=1 t=23344
jin qu 	进去	c=3 d=1.00041 t=14210
jin ri 	今日	c=1 d=1 t=14918
jin ru 	进入	c=5 d=1 t=18282
jin shu 	金属	c=3 d=2.75225 t=7713
jin shui le 	进水了	c=1 d=1 t=1942
jin tian 	今天	c=26 d=1.72618 t=21430
jin tou 	尽头	c=1 d=1 t=8062
jin wan 	今晚	c=3 d=1 t=20717
jin xing 	进行	c=45 d=1.01522 t=22163
jin xing de 	进行的	c=1 d=1 t=8770
jin xing le 	进行了	c=5 d=1 t=20816
jin yi bu 	进一步	c=2 d=1 t=19358
jin yi ci 	近义词	c=1 d=1 t=23411
jin yi ge 	进一个	c=1 d=1 t=11705
jin yong 	禁用	c=0 d=0.1 t=16470
jin yong le 	禁用了	c=1 d=1 t=16471
jing 	镜	c=3 d=1.15162 t=7784
jing cha 	警察	c=4 d=3.75565 t=11651
jing cha ju 	警察局	c=1 d=1 t=11623
jing chang yong 	经常用	c=1 d=1 t=1841
jing dian yong liu chuan 	经典咏流传	c=1 d=1 t=10537
jing dong 	京东	c=3 d=1 t=20498
jing dong 	惊动	c=1 d=1 t=3425
jing du 	精度	c=5 d=3.88112 t=15222
jing duo an 	京多安	c=1 d=1 t=8488
jing guo 	经过	c=1 d=1 t=13434
jing li 	精力	c=1 d=1 t=6175
jing pin 	竞品	c=1 d=1 t=14047
jing que 	精确	c=1 d=1 t=20988
jing ran 	竟然	c=1 d=1 t=10863
jing ren de 	惊人的	c=1 d=1 t=5657
jing ren di 	惊人地	c=1 d=1 t=2065
jing shen 	精神	c=1 d=1 t=3510
jing shen ke 	精神科	c=0 d=0.1 t=12778
jing tai 	静态	c=2 d=1 t=18743
jing tong 	精通	c=1 d=1 t=19046
jing xiang 	镜像	c=4 d=1.00094 t=21419
jing ya 	惊讶	c=2 d=1.00027 t=8605
jing yu 	鲸鱼	c=1 d=1 t=9673
jing zheng 	竞争	c=2 d=1.95123 t=15299
jing zheng le 	竞争了	c=1 d=1 t=12091
jiu 	久	c=3 d=2.0286 t=6957
jiu 	就	c=95 d=1.41432 t=23343
jiu 	旧	c=1 d=1 t=2196
jiu 	酒	c=2 d=1 t=18057
jiu ba 	就把	c=0 d=0.1 t=18091
jiu bei 	就被	c=1 d=1 t=18825
jiu bu 	就不	c=0 d=0.1 t=20009
jiu bu xing 	就不行	c=1 d=1 t=6067
jiu bu ying gai 	就不应该	c=1 d=1 t=20010
jiu de le 	就得了	c=1 d=1 t=2300
jiu du 	九度	c=1 d=1 t=7600
jiu hao le 	就好了	c=3 d=1 t=18537
jiu he 	就和	c=1 d=1 t=18193
jiu hui 	就会	c=4 d=1.00303 t=16742
jiu hui mai 	就会买	c=1 d=1 t=2939
jiu ke yi 	就可以	c=6 d=1 t=19990
jiu ke yi le 	就可以了	c=5 d=1.20309 t=13018
jiu lai 	就来	c=1 d=1 t=2605
jiu le 	久了	c=1 d=1 t=5983
jiu li pu 	就离谱	c=3 d=1 t=18538
jiu mei shi 	就没事	c=0 d=0.1 t=3997
jiu mei shi a 	就没事啊	c=1 d=1 t=3998
jiu nen 	就嫩	c=1 d=1 t=22194
jiu neng 	就能	c=1 d=1 t=7398
jiu qiao ran li kai 	就悄然离开	c=1 d=1 t=21660
jiu qu 	就去	c=1 d=1 t=4549
jiu shi 	就是	c=62 d=1.69986 t=23212
jiu shi ge 	就是个	c=1 d=1 t=11363
jiu shi wo 	就是我	c=2 d=1 t=12338
jiu shi xian 	就实现	c=1 d=1 t=5878
jiu suan 	就算	c=1 d=1 t=12650
jiu wan le 	就完了	c=1 d=1 t=19092
jiu wan shi 	就完事	c=1 d=1 t=12258
jiu wan shi le 	就完事了	c=1 d=1 t=11306
jiu wo 	救我	c=2 d=1.93707 t=3905
jiu wu 	就无	c=1 d=1 t=8000
jiu xiang 	就像	c=2 d=1 t=21541
jiu xing 	就行	c=2 d=1.99005 t=12225
jiu xing le 	就行了	c=1 d=1 t=10245
jiu xu yao 	就需要	c=1 d=1 t=16692
jiu yao 	就要	c=4 d=1 t=17696
jiu yin wei 	就因为	c=1 d=1 t=1430
jiu ying gai 	就应该	c=1 d=1 t=2554
jiu you 	就有	c=1 d=1 t=3303
jiu zai 	就在	c=2 d=1.9802 t=4532
jiu zai shang zhou 	就在上周	c=1 d=1 t=19213
jiu zai zuo bian 	就在左边	c=1 d=1 t=2291
jiu zhe yang 	就这样	c=1 d=1 t=7145
jiu zhe yang le 	就这样了	c=0 d=0.1 t=2343
jiu zhi dao le 	就知道了	c=1 d=1 t=10362
jiu zhi dao shui jiao 	就知道睡觉	c=0 d=0.1 t=21363
ju 	剧	c=14 d=1.96561 t=22895
ju bu 	局部	c=1 d=1 t=6429
ju bu bian liang biao 	局部变量表	c=1 d=1 t=6397
ju da 	巨大	c=2 d=1 t=20475
ju he 	聚合	c=4 d=1.84904 t=22623
ju jue 	拒绝	c=2 d=1 t=19357
ju qing 	剧情	c=1 d=1 t=10198
ju ran 	居然	c=13 d=1.12724 t=21512
ju ran hai you 	居然还有	c=1 d=1 t=10133
ju ran shi 	居然是	c=0 d=0.1 t=7707
ju ran zai 	居然在	c=0 d=0.1 t=19221
ju ti 	具体	c=3 d=1 t=19130
ju ti de 	具体的	c=1 d=1 t=21595
ju you 	具有	c=7 d=1 t=20612
ju yu wang 	局域网	c=1 d=1 t=15655
ju zhong 	居中	c=1 d=1 t=14211
jue 	撅	c=1 d=0.495584 t=4872
jue ce 	决策	c=1 d=1 t=16994
jue de 	觉得	c=3 d=1.00011 t=11602
jue ding 	决定	c=5 d=1 t=23199
jue ding le 	决定了	c=1 d=1 t=13333
jue dui 	绝对	c=0 d=0.1 t=18502
jue dui bu xing le 	绝对不行了	c=1 d=1 t=18503
jue dui shi 	绝对是	c=1 d=1 t=19713
jue sai 	决赛	c=1 d=1 t=6596
jue sai shi jian 	决赛时间	c=1 d=1 t=9940
jue wang 	绝望	c=2 d=1.98511 t=13111
jun 	军	c=1 d=1 t=13324
jun 	均	c=6 d=1.89138 t=15139
jun wei 	均为	c=1 d=1 t=15147
jun xun 	军训	c=1 d=1 t=11699
ka 	卡	c=5 d=1.38289 t=13589
ka de 	卡的	c=2 d=1.00002 t=6003
ka dun 	卡顿	c=5 d=1.93602 t=22106
ka fei 	咖啡	c=2 d=1 t=20008
ka fei yin 	咖啡因	c=1 d=1 t=11756
ka ka 	卡卡	c=1 d=1 t=13037
ka pi a 	卡屁啊	c=1 d=1 t=12437
ka si 	卡死	c=8 d=1.0175 t=22093
ka zai 	卡在	c=2 d=1.98511 t=15080
kai 	开	c=8 d=1.04614 t=13309
kai a 	开啊	c=0 d=0.1 t=1864
kai che 	开车	c=1 d=1 t=6892
kai dai li 	开代理	c=1 d=1 t=522
kai fa 	开发	c=10 d=1 t=21385
kai fa zhe 	开发者	c=3 d=1 t=22150
kai fang 	开放	c=1 d=1 t=5843
kai gai 	开盖	c=1 d=1 t=15378
kai guan 	开关	c=1 d=1 t=12157
kai hui 	开会	c=6 d=1 t=17495
kai ji 	开机	c=2 d=1 t=21863
kai le 	开了	c=1 d=1 t=12477
kai ping qi 	开瓶器	c=2 d=1.96561 t=7654
kai qi 	开启	c=5 d=1 t=21735
kai quan xian 	开权限	c=1 d=1 t=12475
kai shi 	开始	c=13 d=0.1 t=23345
kai shi shi hou 	开始时候	c=1 d=1 t=1247
kai shui 	开水	c=1 d=1 t=8419
kai xiang 	开箱	c=3 d=1 t=12007
kai xiao 	开销	c=4 d=1 t=20319
kai yuan 	开源	c=4 d=1 t=15356
kai zuo 	开做	c=1 d=1 t=5361
kan 	看	c=41 d=1.24784 t=22998
kan bu dao 	看不到	c=1 d=1 t=2652
kan bu dong 	看不懂	c=3 d=1 t=18000
kan bu liao 	看不了	c=0 d=0.1 t=10515
kan bu liao yi dian 	看不了一点	c=3 d=1 t=21925
kan chu 	看出	c=6 d=2.31407 t=11094
kan dao 	看到	c=6 d=1 t=17030
kan dao ge 	看到个	c=2 d=1 t=6485
kan dao le ma 	看到了吗	c=1 d=1 t=14336
kan dao wo 	看到我	c=0 d=0.1 t=14332
kan de 	看的	c=2 d=1 t=17936
kan dian nao 	看电脑	c=1 d=1 t=10476
kan dong 	看懂	c=1 d=1 t=19089
kan guo 	看过	c=2 d=1.00012 t=22884
kan guo mei 	看过没	c=1 d=1 t=10596
kan ju 	看剧	c=1 d=1 t=7044
kan kan 	看看	c=11 d=2.17013 t=21837
kan kan ni 	看看你	c=0 d=0.1 t=18015
kan kan ni de 	看看你的	c=2 d=1.01005 t=18936
kan kan wang ye 	看看网页	c=1 d=1 t=17680
kan kan zhe shi shen me 	看看这是什么	c=1 d=1 t=21552
kan lai 	看来	c=1 d=1 t=4145
kan le 	看了	c=7 d=1 t=22997
kan le kan 	看了看	c=1 d=1 t=3688
kan le yi xia 	看了一下	c=1 d=1 t=3630
kan lun wen 	看论文	c=2 d=1.94649 t=8468
kan ma 	看吗	c=0 d=0.1 t=23244
kan shang qu bu cuo 	看上去不错	c=1 d=1 t=14285
kan shi pin 	看视频	c=1 d=1 t=3384
kan wan de 	看玩的	c=1 d=1 t=19030
kan xia 	看下	c=1 d=1 t=5860
kan xia lai 	看下来	c=1 d=1 t=10727
kan yi bu 	看一步	c=1 d=1 t=2458
kan yi bu dian ying 	看一部电影	c=1 d=1 t=2460
kan yi hui er 	看一会儿	c=1 d=1 t=5268
kan yi xia 	看一下	c=2 d=1 t=6275
kan zhe 	看着	c=1 d=1 t=6829
kan zhe ge 	看这个	c=2 d=1.00295 t=14287
kan zhi bo 	看直播	c=1 d=1 t=7786
kan zuo shi 	看作是	c=1 d=1 t=6318
kang shi fu 	康师傅	c=2 d=1.94176 t=8429
kao 	靠	c=4 d=1 t=14304
kao bei 	拷贝	c=3 d=1 t=11888
kao chang 	烤肠	c=1 d=1 t=2711
kao chuan 	烤串	c=1 d=1 t=11810
kao leng mian 	烤冷面	c=1 d=1 t=11809
kao lv 	考虑	c=6 d=1.02665 t=20483
kao lv dao 	考虑到	c=1 d=1 t=16139
kao shi 	考试	c=6 d=2.05871 t=21354
kao shi jiao lv 	考试焦虑	c=0 d=0.1 t=344
ke 	可	c=4 d=1 t=16939
ke 	壳	c=1 d=1 t=12381
ke 	课	c=1 d=1 t=21833
ke ai 	可爱	c=0 d=0.1 t=16935
ke ai nie 	可爱捏	c=1 d=1 t=16936
ke bian 	可变	c=1 d=1 t=17496
ke bu ke yi 	可不可以	c=1 d=1 t=11308
ke cheng 	课程	c=2 d=1 t=12677
ke du 	可读	c=1 d=1 t=10161
ke fou 	可否	c=2 d=1.00013 t=4272
ke fu 	克服	c=2 d=1.97045 t=8919
ke guan cun zai 	客观存在	c=0 d=0.1 t=2289
ke guan cun zai de a 	客观存在的啊	c=1 d=1 t=2290
ke hu duan 	客户端	c=3 d=1 t=12138
ke huai yi 	可怀疑	c=1 d=1 t=20931
ke ji de 	科技的	c=0 d=0.1 t=3353
ke jiao an 	课教案	c=0 d=0.1 t=12778
ke kan 	可看	c=1 d=1 t=10164
ke kou 	可口	c=1 d=1 t=6858
ke lang 	克朗	c=1 d=1 t=20197
ke le 	可乐	c=1 d=1 t=6994
ke neng 	可能	c=10 d=1.09664 t=22849
ke neng bao han 	可能包含	c=1 d=1 t=22826
ke neng hui 	可能会	c=1 d=1 t=15952
ke neng shi 	可能是	c=2 d=1 t=6518
ke neng wei yu 	可能位于	c=1 d=1 t=15905
ke shang 	客商	c=0 d=0.1 t=980
ke shi hua 	可视化	c=1 d=1 t=14257
ke wu 	可恶	c=2 d=1 t=14048
ke xi 	可惜	c=1 d=1 t=20521
ke xiang er zhi 	可想而知	c=1 d=1 t=10941
ke xing 	可行	c=1 d=1 t=2579
ke xuan xiang 	可选项	c=1 d=1 t=14064
ke xue 	科学	c=1 d=1 t=20761
ke xue jia 	科学家	c=1 d=1 t=19064
ke yan 	科研	c=2 d=1.43953 t=18216
ke yan fang xiang 	科研方向	c=1 d=1 t=18209
ke yi 	可以	c=120 d=3.05363 t=23285
ke yi a 	可以啊	c=1 d=1 t=9699
ke yi chi 	可以吃	c=1 d=1 t=2845
ke yi le 	可以了	c=1 d=1 t=6488
ke yi ma 	可以吗	c=1 d=1 t=5102
ke yi rang ni 	可以让你	c=1 d=1 t=7814
ke yi yong 	可以用	c=2 d=1.98511 t=1986
ke yi zhi jie 	可以直接	c=1 d=1 t=22432
ke yi zhuang 	可以装	c=1 d=1 t=7881
ke yong 	可用	c=4 d=1.99309 t=20176
ke yong de 	可用的	c=1 d=1 t=20152
ke yong xing 	可用性	c=1 d=1 t=3357
ke zhi 	克制	c=1 d=1 t=18283
ke zhi 	可知	c=4 d=2.84736 t=15233
ke zhi xing 	可执行	c=3 d=1.06231 t=23272
ken de ji 	肯德基	c=1 d=1 t=13029
ken ding 	肯定	c=4 d=1 t=12728
ken ding bu 	肯定不	c=0 d=0.1 t=12694
ken ding bu xing a 	肯定不行啊	c=1 d=1 t=12695
ken ding shi 	肯定是	c=1 d=1.00728 t=1977
ken ding you 	肯定有	c=1 d=1 t=9415
keng 	坑	c=1 d=1 t=23247
kong 	孔	c=1 d=1 t=15388
kong 	空	c=1 d=1 t=6351
kong bu pian 	恐怖片	c=2 d=1.99005 t=1645
kong ge 	空格	c=7 d=2.65042 t=18565
kong jian 	空间	c=7 d=1.09225 t=17409
kong tiao 	空调	c=3 d=2.87472 t=11865
kong tiao de 	空调的	c=1 d=1 t=9861
kong xu 	空虚	c=1 d=1 t=3503
kong zhi 	控制	c=2 d=1 t=15752
kong zhi bu zhu 	控制不住	c=1 d=1 t=10218
kong zhi qi 	控制器	c=6 d=1.65848 t=16787
kong zhi quan 	控制权	c=1 d=1 t=16515
kong zhi tai 	控制台	c=1 d=1 t=9462
kou 	口	c=2 d=1.99006 t=18972
kou gan 	口感	c=2 d=1 t=10862
kou kou sou sou 	抠抠搜搜	c=1 d=1 t=7758
kou zhao 	口罩	c=2 d=1.91851 t=6193
ku 	库	c=4 d=1.98511 t=9510
ku 	苦	c=3 d=1.00008 t=9506
ku er le 	库尔勒	c=1 d=1 t=10528
ku er tu wa 	库尔图瓦	c=1 d=1 t=9875
ku le 	哭了	c=1 d=1 t=11926
ku zao 	枯燥	c=1 d=1 t=22804
kua 	夸	c=0 d=0.1 t=12151
kua du 	跨度	c=4 d=3.4772 t=15197
kua du yu qu 	跨度预取	c=1 d=1 t=15176
kua jie jian 	夸借鉴	c=1 d=1 t=12152
kua ping tai 	跨平台	c=1 d=1 t=22582
kua yu yan 	跨语言	c=2 d=1.50916 t=5778
kua zhang de 	夸张的	c=1 d=1 t=6189
kuai 	块	c=20 d=1 t=19755
kuai 	快	c=4 d=0.1 t=21704
kuai bu kuai 	快不快	c=1 d=1 t=3085
kuai de 	快的	c=1 d=1 t=20745
kuai di 	快递	c=0 d=0.1 t=18930
kuai di a 	快递啊	c=1 d=1 t=18931
kuai dian 	快点	c=4 d=1.60523 t=19040
kuai jie 	快捷	c=1 d=1 t=10883
kuai jie jian 	快捷键	c=12 d=1.97045 t=23381
kuai jie jian a 	快捷键啊	c=2 d=1 t=7986
kuai jie shu 	快结束	c=1 d=1 t=5926
kuai le 	快乐	c=1 d=0.1 t=15047
kuai le yu zhi 	快乐阈值	c=1 d=1 t=15048
kuai ma 	快马	c=0 d=0.1 t=15702
kuai she bei 	块设备	c=2 d=1 t=16365
kuai shou 	快手	c=1 d=1 t=5386
kuai shou le 	快熟了	c=1 d=1 t=5384
kuai su 	快速	c=5 d=1 t=22255
kuai su ru men 	快速入门	c=1 d=1 t=19042
kuai yi dian a 	快一点啊	c=1 d=1 t=9776
kuai zhao 	快照	c=3 d=1 t=12142
kuai zhe me duo 	快这么多	c=1 d=1 t=21705
kuan 	宽	c=1 d=1 t=21370
kuan 	款	c=1 d=1 t=21369
kuang 	框	c=1 d=0.107409 t=1890
kuang 	狂	c=1 d=1 t=10739
kuang jia 	框架	c=2 d=1.9802 t=22864
kuang ren 	狂人	c=14 d=1 t=18982
kuang ye 	旷野	c=1 d=1 t=15340
kuang ye zhi xi 	旷野之息	c=2 d=1.0037 t=9596
kun nan 	困难	c=1 d=1.00006 t=15529
kun nan ma 	困难吗	c=1 d=1 t=14055
kun rao 	困扰	c=1 d=1 t=20986
kuo 	阔	c=1 d=1 t=12510
kuo da le 	扩大了	c=0 d=0.1 t=344
kuo hao 	括号	c=2 d=2.07485 t=5205
kuo hao bu quan 	括号补全	c=1 d=1 t=5195
kuo rong 	扩容	c=1 d=1.00078 t=14614
kuo zhan 	扩展	c=4 d=3.88808 t=4097
kuo zhan dao 	扩展到	c=1 d=1 t=15565
la 	拉	c=3 d=1 t=11743
la chang 	拉长	c=1 d=1 t=12458
la ji 	垃圾	c=4 d=0.100002 t=12351
la ji hui shou 	垃圾回收	c=0 d=0.1 t=20836
la ji hui shou de 	垃圾回收的	c=1 d=1 t=20837
la ji xiang 	垃圾箱	c=1 d=1 t=3591
la ka la 	拉卡拉	c=0 d=0.1 t=3558
la ka la san deng jiang 	拉卡拉三等奖	c=1 d=1 t=3559
la la 	辣辣	c=1 d=1 t=14619
la le 	拉了	c=0 d=0.1 t=11735
la man 	拉满	c=0 d=0.1 t=11585
la man de 	拉满的	c=1 d=1 t=11586
la shi 	拉屎	c=1 d=1 t=3253
la shui dong 	落水洞	c=1 d=0.100277 t=5198
la shui dong ji lu 	落水洞记录	c=1 d=1 t=5199
la si ke 	拉斯科	c=0 d=0.1 t=4872
la si ke jia da le shen ke de jue 	拉斯科加大了深刻的撅	c=1 d=1 t=4873
la wo 	拉我	c=1 d=1 t=19037
lai 	来	c=39 d=1.00001 t=23369
lai chi 	来吃	c=1 d=1 t=4514
lai chu li 	来处理	c=1 d=1 t=20274
lai du 	来读	c=1 d=1 t=9215
lai ge 	来个	c=2 d=1 t=19041
lai kan 	来看	c=0 d=0.1 t=322
lai kan zhe ge a 	来看这个啊	c=1 d=1 t=7078
lai le 	来了	c=1 d=1 t=14645
lai shi 	来时	c=1 d=1 t=1293
lai shi shi 	来试试	c=1 d=1 t=1295
lai shuo 	来说	c=2 d=1 t=20634
lai yuan 	来源	c=2 d=1 t=6815
lai zhe 	来着	c=1 d=1 t=6120
lai zi 	来自	c=8 d=1.06677 t=23388
lai zi yu 	来自于	c=1 d=1 t=20551
lai zuo 	来做	c=1 d=1 t=3170
lan 	栏	c=2 d=1 t=3018
lan 	烂	c=3 d=1 t=23106
lan jian 	揽件	c=3 d=2.97025 t=4857
lan le 	烂了	c=1 d=1 t=14664
lan se 	蓝色	c=3 d=1.01297 t=14544
lang dui 	狼队	c=0 d=0.1 t=7695
lang fei 	浪费	c=3 d=1.00714 t=20331
lao 	捞	c=2 d=1 t=12706
lao 	老	c=3 d=1.91393 t=11870
lao dong ji lv 	劳动纪律	c=0 d=0.1 t=14719
lao jiu 	老旧	c=1 d=1 t=20730
lao lei 	劳累	c=1 d=1 t=18243
lao ma chao shou 	老麻抄手	c=1 d=1 t=9020
lao tu 	老土	c=2 d=1.90032 t=10960
lao zi de 	老子的	c=1 d=1 t=1408
le 	乐	c=1 d=1 t=18348
le 	了	c=171 d=4.92635 t=23217
le a 	了啊	c=0 d=0.1 t=7150
le ba 	了吧	c=0 d=0.1 t=5926
le ba zi 	了吧自	c=1 d=1 t=13423
le ge 	了个	c=1 d=1 t=1835
le ma 	了吗	c=3 d=0.1 t=18339
le yi ge 	了一个	c=1 d=1 t=13955
le yi xia 	了一下	c=1 d=1 t=3741
lei dian 	雷电	c=1 d=1.07045 t=1993
lei dian si 	雷电死	c=1 d=1 t=1994
lei si 	类似	c=7 d=1.03497 t=21934
lei xing 	类型	c=11 d=2.72228 t=19362
leng 	冷	c=1 d=1 t=3125
leng cui 	冷萃	c=3 d=1.01153 t=11754
leng mian 	冷面	c=1 d=1 t=2710
li 	利	c=6 d=2.11869 t=6020
li 	李	c=6 d=1.73129 t=13191
li 	里	c=32 d=1.26336 t=22590
li cheng 	历程	c=1 d=1 t=5746
li de 	里的	c=0 d=0.1 t=18509
li du 	力度	c=2 d=1 t=20961
li du 	粒度	c=2 d=1 t=20533
li hai 	厉害	c=1 d=1 t=12221
li jie 	理解	c=7 d=1 t=19128
li jie wei 	理解为	c=1 d=1 t=2819
li kai 	离开	c=3 d=1 t=21663
li ke 	理科	c=1 d=1 t=16557
li ke 	立刻	c=1 d=1 t=16558
li lan 	礼篮	c=0 d=0.1 t=4275
li lan qi 	礼篮气	c=1 d=1 t=4276
li liang 	力量	c=1 d=1 t=18841
li mi 	厘米	c=3 d=1.02562 t=18981
li mian 	里面	c=4 d=1 t=22384
li mian de 	里面的	c=2 d=1.00905 t=22427
